sku_ref_id,geographic_hub,weave_category,jacquard_capacity,zari_configuration,warp_denier,weft_denier,zari_wire_denier,warp_net_weight_g,weft_net_weight_g,zari_net_weight_g,bobbin_waste_weight_g,total_saree_weight_g,yarn_raw_cost_inr,zari_raw_cost_inr,labor_surcharge_inr,total_mfg_cost_inr,mrp_inr,selling_price_inr,min_floor_price_inr,weight_category_profile
SKU-0001,Arani,Deccan Fine Weave,1024 Hooks,1Gram Gold Zari,17/19 D,21/23 D,45 Denier,35,49,220,14,318,561,3465,3653,7679,26876,18813,10366,Lightweight Dress Silk
SKU-0002,Arani,Deccan Fine Weave,1024 Hooks,3G Gold Zari,17/19 D,21/23 D,55 Denier,35,49,94,14,318,561,1480,3653,5694,19929,13950,7686,Lightweight Dress Silk
SKU-0003,Arani,Deccan Fine Weave,1534 Hooks,2G Gold Zari,18/20 D,22/24 D,55 Denier,37,51,228,20,454,561,3591,3433,7585,26547,18583,10239,Standard Mid-Weight Saree
SKU-0004,Arani,Deccan Fine Weave,1534 Hooks,3G Gold Zari,18/20 D,22/24 D,60 Denier,37,51,148,20,454,561,2331,3433,6325,22137,15496,8538,Standard Mid-Weight Saree
SKU-0005,Arani,Deccan Fine Weave,2400 Hooks,1Gram Gold Zari,19/21 D,23/25 D,55 Denier,39,53,454,25,571,561,7150,3276,10987,38454,26918,14832,Standard Mid-Weight Saree
SKU-0006,Arani,Deccan Fine Weave,2400 Hooks,2G Gold Zari,19/21 D,23/25 D,60 Denier,39,53,299,25,571,561,4709,3276,8546,29911,20937,11537,Standard Mid-Weight Saree
SKU-0007,Arani,Deccan Fine Weave,2688 Hooks,1Gram Gold Zari,20/22 D,24/26 D,60 Denier,41,56,598,31,725,561,9418,3559,13538,47383,33168,18276,Heavy Bridal Brocade
SKU-0008,Arani,Deccan Fine Weave,2688 Hooks,2G Gold Zari,20/22 D,24/26 D,65 Denier,41,56,394,31,725,561,6205,3559,10325,36137,25296,13938,Heavy Bridal Brocade
SKU-0009,Arani,Deccan Fine Weave,2688 Hooks,3G Gold Zari,20/22 D,24/26 D,70 Denier,41,56,257,31,725,561,4047,3559,8167,28584,20009,11025,Heavy Bridal Brocade
SKU-0010,Arani,Deccan Fine Weave,2688 Hooks,5G Gold Zari,20/22 D,24/26 D,40 Denier,41,56,1506,31,725,561,23719,3559,27839,97436,68205,37582,Heavy Bridal Brocade
SKU-0011,Arani,Deccan Fine Weave,5400 Hooks,1Gram Gold Zari,22/24 D,28/30 D,65 Denier,45,64,897,45,1051,561,14127,3528,18216,63756,44629,24591,Ultra-Heavy Royal Heritage Pattu
SKU-0012,Arani,Deccan Fine Weave,640 Hooks,1Gram Gold Zari,16/18 D,20/22 D,40 Denier,33,47,120,9,209,561,1890,3339,5790,20265,14185,7816,Lightweight Dress Silk
SKU-0013,Arani,Deccan Fine Weave,640 Hooks,2G Gold Zari,16/18 D,20/22 D,45 Denier,33,47,79,9,209,561,1244,3339,5144,18004,12602,6944,Lightweight Dress Silk
SKU-0014,Arani,South Indian Heavy Pattu,1024 Hooks,2G Gold Zari,17/19 D,21/23 D,50 Denier,35,49,145,14,318,567,2283,3685,6535,22872,16010,8822,Lightweight Dress Silk
SKU-0015,Arani,South Indian Heavy Pattu,1534 Hooks,2G Gold Zari,18/20 D,22/24 D,55 Denier,37,51,228,20,454,567,3591,3402,7560,26460,18522,10206,Standard Mid-Weight Saree
SKU-0016,Arani,South Indian Heavy Pattu,1534 Hooks,3G Gold Zari,18/20 D,22/24 D,60 Denier,37,51,148,20,454,567,2331,3402,6300,22050,15435,8505,Standard Mid-Weight Saree
SKU-0017,Arani,South Indian Heavy Pattu,1534 Hooks,5G Gold Zari,18/20 D,22/24 D,65 Denier,37,51,871,20,454,567,13718,3402,17687,61904,43333,23877,Standard Mid-Weight Saree
SKU-0018,Arani,South Indian Heavy Pattu,2400 Hooks,2G Gold Zari,19/21 D,23/25 D,60 Denier,39,53,299,25,571,567,4709,3244,8520,29820,20874,11502,Standard Mid-Weight Saree
SKU-0019,Arani,South Indian Heavy Pattu,2400 Hooks,3G Gold Zari,19/21 D,23/25 D,65 Denier,39,53,195,25,571,567,3071,3244,6882,24087,16860,9290,Standard Mid-Weight Saree
SKU-0020,Arani,South Indian Heavy Pattu,2688 Hooks,2G Gold Zari,20/22 D,24/26 D,65 Denier,41,56,394,31,725,567,6205,3559,10331,36158,25310,13946,Heavy Bridal Brocade
SKU-0021,Arani,South Indian Heavy Pattu,2688 Hooks,5G Gold Zari,20/22 D,24/26 D,40 Denier,41,56,1506,31,725,567,23719,3559,27845,97457,68220,37590,Heavy Bridal Brocade
SKU-0022,Arani,South Indian Heavy Pattu,5400 Hooks,1Gram Gold Zari,22/24 D,28/30 D,65 Denier,45,64,897,45,1051,567,14127,3653,18347,64214,44950,24768,Ultra-Heavy Royal Heritage Pattu
SKU-0023,Arani,South Indian Heavy Pattu,5400 Hooks,3G Gold Zari,22/24 D,28/30 D,40 Denier,45,64,385,45,1051,567,6063,3653,10283,35990,25193,13882,Ultra-Heavy Royal Heritage Pattu
SKU-0024,Arani,South Indian Heavy Pattu,5400 Hooks,5G Gold Zari,22/24 D,28/30 D,45 Denier,45,64,2260,45,1051,567,35595,3653,39815,139352,97546,53750,Ultra-Heavy Royal Heritage Pattu
SKU-0025,Arani,South Indian Heavy Pattu,640 Hooks,2G Gold Zari,16/18 D,20/22 D,45 Denier,33,47,79,9,209,567,1244,3465,5276,18466,12926,7122,Lightweight Dress Silk
SKU-0026,Arani,South Indian Heavy Pattu,640 Hooks,3G Gold Zari,16/18 D,20/22 D,50 Denier,33,47,51,9,209,567,803,3465,4835,16922,11845,6527,Lightweight Dress Silk
SKU-0027,Bishnupur,Central Sheer Fabric,1024 Hooks,1Gram Gold Zari,17/19 D,21/23 D,45 Denier,35,49,220,14,318,454,2970,2970,6394,22379,15665,8631,Lightweight Dress Silk
SKU-0028,Bishnupur,Central Sheer Fabric,1024 Hooks,2G Gold Zari,17/19 D,21/23 D,50 Denier,35,49,145,14,318,454,1957,2970,5381,18833,13183,7264,Lightweight Dress Silk
SKU-0029,Bishnupur,Central Sheer Fabric,1024 Hooks,3G Gold Zari,17/19 D,21/23 D,55 Denier,35,49,94,14,318,454,1269,2970,4693,16425,11497,6335,Lightweight Dress Silk
SKU-0030,Bishnupur,Central Sheer Fabric,1534 Hooks,1Gram Gold Zari,18/20 D,22/24 D,50 Denier,37,51,346,20,454,454,4671,3078,8203,28710,20097,11074,Standard Mid-Weight Saree
SKU-0031,Bishnupur,Central Sheer Fabric,1534 Hooks,2G Gold Zari,18/20 D,22/24 D,55 Denier,37,51,228,20,454,454,3078,3078,6610,23135,16194,8923,Standard Mid-Weight Saree
